Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,UNIQUE_ID
[840],OCEAN ISLAND,HAWAIIAN ISLANDS / HAWAII / KILAUEA / SHIELD STAGE / PUNA BASALT / PACIFIC OCEAN,IKI LAVA LAKE,19.4,19.4,-155.27,-155.27,SUBAERIAL,,,s 1 [840],"BASALT, THOLEIITIC [840]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [840] ,228201.767,16601.718,,71025.4842,,11889.8,76952.7,,80904.04,54273.6,1394.0244,,4814.87,16691.7825,1047.4104,,200,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10038
[840],OCEAN ISLAND,HAWAIIAN ISLANDS / HAWAII / KILAUEA / SHIELD STAGE / PUNA BASALT / PACIFIC OCEAN,IKI LAVA LAKE,19.4,19.4,-155.27,-155.27,SUBAERIAL,,,s 2 [840],"BASALT, THOLEIITIC [840]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [840] ,218619.3495,13664.952,,63721.8204,,12029.68,77341.35,,70683.83,89551.44,1394.0244,,3154.57,11350.4121,1047.4104,,1900,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10039
[840],OCEAN ISLAND,HAWAIIAN ISLANDS / HAWAII / KILAUEA / SHIELD STAGE / PUNA BASALT / PACIFIC OCEAN,IKI LAVA LAKE,19.4,19.4,-155.27,-155.27,SUBAERIAL,,,s 3 [840],"BASALT, THOLEIITIC [840]",,,,,,,,,VOLCANIC ROCK,1.2,1.2,,,WHOLE_ROCK [840] ,219647.7065,13425.216,,64251.0714,,17834.7,71433.87,,70755.3,86415.632,1394.0244,,3320.6,11202.0407,1091.0525,,2800,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10040
[4606],CONTINENTAL FLOOD BASALT,NORTH ATLANTIC IGNEOUS PROVINCE (NAIP) / BRITISH TERTIARY VOLCANIC PROVINCE,"CREARLAGH BURN, GALBOLY UPPER, GARROON POINT, ANTRIM COUNTY, NE IRELAND",54.75,55,-5.75,-6.25,SUBAERIAL,,,s 18 [4606],"BASALT, THOLEIITIC [4606]",,,,CENOZOIC [4606],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4606] ,212682.925,13305.348,,89708.0445,,65953.42,35600.34,,64108.59,26232.24,1239.1328,,1328.24,21662.2244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100424
[840],OCEAN ISLAND,HAWAIIAN ISLANDS / HAWAII / KILAUEA / SHIELD STAGE / PUNA BASALT / PACIFIC OCEAN,IKI LAVA LAKE,19.4,19.4,-155.27,-155.27,SUBAERIAL,,,s 6 [840],"BASALT, THOLEIITIC [840]",,,,,,,,,VOLCANIC ROCK,3.7,4.3,,,WHOLE_ROCK [840] ,213290.5905,12286.47,,55994.7558,,12938.9,79750.98,,60034.8,111019.664,1394.0244,,3154.57,9718.3267,1091.0525,,1800,2300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10043
[840],OCEAN ISLAND,HAWAIIAN ISLANDS / HAWAII / KILAUEA / SHIELD STAGE / PUNA BASALT / PACIFIC OCEAN,IKI LAVA LAKE,19.4,19.4,-155.27,-155.27,SUBAERIAL,,,s 7 [840],"BASALT, THOLEIITIC [840]",,,,,,,,,VOLCANIC ROCK,4.2,4.2,,,WHOLE_ROCK [840] ,220816.294,13185.48,,58958.5614,,9861.54,79440.06,,68325.32,94436.064,1239.1328,,3237.585,11350.4121,654.6315,,2300,1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10044
[840],OCEAN ISLAND,HAWAIIAN ISLANDS / HAWAII / KILAUEA / SHIELD STAGE / PUNA BASALT / PACIFIC OCEAN,IKI LAVA LAKE,19.4,19.4,-155.27,-155.27,SUBAERIAL,,,s 8 [840],"BASALT, THOLEIITIC [840]",,,,,,,,,VOLCANIC ROCK,4.9,5.1,,,WHOLE_ROCK [840] ,225537.3875,15103.368,,68273.379,,12449.32,76797.24,,74185.86,68686.256,1394.0244,,3735.675,12982.4975,1221.9788,,3500,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10045
[840],OCEAN ISLAND,HAWAIIAN ISLANDS / HAWAII / KILAUEA / SHIELD STAGE / PUNA BASALT / PACIFIC OCEAN,IKI LAVA LAKE,19.4,19.4,-155.27,-155.27,SUBAERIAL,,,s 9 [840],"BASALT, THOLEIITIC [840]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [840] ,226378.7705,17860.332,,68802.63,,9232.08,87446.25,,71684.41,56625.456,1394.0244,,4980.9,15578.997,1396.5472,,400,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10046
[2770][3371][10608][2478],CONVERGENT MARGIN,KERMADEC ARC / KERMADEC ISLANDS / MACAULEY / PACIFIC OCEAN,,-30.22,-30.22,-178.55,-178.55,SUBAERIAL,,,s 10380 [2770],"BASALT [2770] / BASALT, THOLEIITIC [10608]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2770] ,229978.02,5334.126,,82933.6317,,29164.98,62339.46,,87836.63,43720.4,1781.2534,,3320.6,14911.3257,305.4947,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36,,,,,,,,,,,,48.8,5340,411,72,,,47,39,185,87,16.3,,,,,8.2,236,17.2,38.4,0.57,,,,,,,,0.5,,,,0.32,126,3.9,9.72,1.55,7.46,2.19,0.79,2.62,0.43,2.81,0.58,1.72,0.22,1.72,0.25,1.02,0.035,,,,,,,,,2.25,,0.58,0.18,0.512972,,,0.703499,,18.635,,15.589,,38.389,,,,,,,,0.283153,,,,,,,10204-10380
[4783][3185],CONVERGENT MARGIN,HONSHU ARC / NORTHEASTERN HONSHU ARC / HONSHU / ADATARA / ISHIMUSHIRO-GENRYU FLOW / PACIFIC OCEAN,,37.62,37.62,140.28,140.28,SUBAERIAL,,,s 2-10 [4783],"BASALT, THOLEIITIC [4783]",,,,QUATERNARY [3185],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4783] ,288594.369,5933.466,,83251.1823,,23989.42,36066.72,,44311.4,11156.24,774.458,,6558.185,26039.1807,1178.3367,,2600,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,93,4.5,,,13.6,3.8,,84,,,,,,15.3,256,36,89.1,6.8,,,,,,,,,,,,0.26,212,9.28,23.19,,15.32,4.82,1.35,5.26,,5.79,,3.63,,3.3,0.42,,,,,,,,,,,,,,,,,,0.705798,,,,,,,,,,,,,,,,,,,,,10283-2-10
