Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id
[4683],OCEAN ISLAND,AUSTRAL-COOK ISLANDS / RAROTONGA / PACIFIC OCEAN,,-21.25,-21.25,-159.75,-159.75,SUBAERIAL,,,s R36 [4683],BASANITE [4683],1000000 [4683],2000000 [4683],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4683] ,201137.2805,19958.022,,58799.7861,,,,88301.28,86693.11,73993.008,1626.3618,,12618.28,15282.2542,2531.2418,,,,,,,,,,,,,,,,10400,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,419,413,,,,225,,,20,,,,,27,576,19,205,43.5,,,,,,,,,,,,,383,32.63,69.27,8.3,36,7.71,2.4,7.816,0.9,4.94,0.8,1.88,0.24,1.35,,5.98,,,,,,,,,,3,,3.86,0.9,0.5127,,,0.7043,,,,,,,,,,,,,,,,,,,,,100052
[1211],OCEAN ISLAND,CANARY ISLANDS / LA PALMA / CUMBRE VIEJA / ATLANTIC OCEAN,NEAR HOYO NEGRO,28.5,28.5,-18,-18,SUBAERIAL,,,s LP26192-5 [1211],BASANITE [1211],,,,,,,1712,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [1211] ,,,,,,,,,,72967.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000206,0.0001031,,,,,,,,,,,,,,,,,,,,,,,,0.1487,,9.61,,,,,,,,10360
[1211],OCEAN ISLAND,CANARY ISLANDS / LA PALMA / CUMBRE VIEJA / ATLANTIC OCEAN,NEAR HOYO NEGRO,28.5,28.5,-18,-18,SUBAERIAL,,,s LP26192-5 [1211],BASANITE [1211],,,,,,,1712,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [1211] ,,,,,,,,,,72364.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10361
[1211],OCEAN ISLAND,CANARY ISLANDS / LA GOMERA / ATLANTIC OCEAN,,28.1,28.1,-17.2,-17.2,SUBAERIAL,,,s EG15B [1211],BASANITE [1211],4400000 [1211],4400000 [1211],,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [1211] ,,,,,,,,,,89249.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000352,0.0002317,,,,,,,,,,,,,,,,,,,,,,,,0.1509,,7.3,,,,,,,,10371
[1211],OCEAN ISLAND,MADEIRA ARCHIPELAGO / MADEIRA / ATLANTIC OCEAN,,32.75,32.75,-17,-17,SUBAERIAL,,,s M191292-5 [1211],BASANITE [1211],,,,HOLOCENE [1211],,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [1211] ,,,,,,,,,,71158.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000123,,,,,,,,,,,,,,,,,,,,,,,,0.1395,,,,,,,,,,10372
[1211],OCEAN ISLAND,MADEIRA ARCHIPELAGO / MADEIRA / ATLANTIC OCEAN,,32.75,32.75,-17,-17,SUBAERIAL,,,s M191292-6 [1211],BASANITE [1211],,,,HOLOCENE [1211],,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [1211] ,,,,,,,,,,82013.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000246,,,,,,,,,,,,,,,,,,,,,,,,0.1444,,,,,,,,,,10373
[1211],OCEAN ISLAND,MADEIRA ARCHIPELAGO / MADEIRA / ATLANTIC OCEAN,,32.75,32.75,-17,-17,SUBAERIAL,,,s M191292-8 [1211],BASANITE [1211],,,,HOLOCENE [1211],,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [1211] ,,,,,,,,,,89249.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000295,,,,,,,,,,,,,,,,,,,,,,,,0.139,,,,,,,,,,10374
[811],OCEAN ISLAND,AUSTRAL-COOK ISLANDS / RURUTU / YOUNG ATIU-TREND LAVAS / PACIFIC OCEAN,,-22.42,-22.42,-151.33,-151.33,SUBAERIAL,,,s RR28 [811],BASANITE [811],1100000 [811],1800000 [811],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [811] ,191648.35,23494.128,,69331.881,,,,104935.5,85764,51861.44,1626.3618,,7969.44,24852.2095,4713.3468,,,,,,,,,,,,,,,,5700,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,330,175,,,53,145,,,,,,,,20,785,38,285,65,,,,,,,,,,,,,270,58,115,,68,,3.65,,,7.4,,3,,2.45,,,,,,,,,,,,,,,,0.512908,,,0.703343,,20.34,,15.67,,39.75,,,,,,,,,,,,,,,10412
[4843],OCEAN ISLAND,CANARY ISLANDS / TENERIFE / ATLANTIC OCEAN,ANAGA MASSIF,28.5,28.5,-16.3,-16.3,SUBAERIAL,,,s AN49 [4843],BASANITE [4843],4200000 [4843],8000000 [4843],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4843] ,201370.998,26970.3,,76582.6197,,,,101515.38,81332.86,35277.84,1858.6992,,8616.957,24036.1668,4538.7784,,,,,,,,,,,,,,,,17800,,,,,,,,,,,,,,,,,,,,,,,,727,,,18,,318,12,,,,17,42,119,24.6,,,,,19.3,1147,37.8,410,118.6,,,,,,,,,,,,,769,80.5,160.6,,74.1,13.569,4.066,11.2,,7.66,,3.35,,2.49,0.342,,,,,,,,,,,4.6,,9,,,,,,,,,,,,,,,,,,,,,,,,,,104635
[4843],OCEAN ISLAND,CANARY ISLANDS / TENERIFE / ATLANTIC OCEAN,ANAGA MASSIF,28.5,28.5,-16.3,-16.3,SUBAERIAL,,,s AN50 [4843],BASANITE [4843],4200000 [4843],8000000 [4843],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4843] ,200015.4365,28708.386,,80340.3018,,,,101593.11,79760.52,36785.44,1502.44852,,6383.8535,23813.6097,3604.83746,,,,,,,,,,,,,,,,14100,,,,,,,,,,,,,,,,,,,,,,,,1367,,,25,,393,43,,,,40,48,105,21.5,,,,,30.6,945,31.2,276,79.5,,,,,,,,,,,,,585,52.6,110.5,,55.82,10.802,3.31,9.23,,6.34,,2.71,,1.978,0.271,,,,,,,,,,,3.2,,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,104636
[4843],OCEAN ISLAND,CANARY ISLANDS / TENERIFE / ATLANTIC OCEAN,ANAGA MASSIF,28.5,28.5,-16.3,-16.3,SUBAERIAL,,,s AN51 [4843],BASANITE [4843],4200000 [4843],8000000 [4843],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4843] ,198940.336,28348.782,,78858.399,,,,101593.11,83619.9,40102.16,1541.17142,,7770.204,24036.1668,3473.91116,,,,,,,,,,,,,,,,14300,,,,,,,,,,,,,,,,,,,,,,,,483,,,24,,368,45,,,,36,52,105,21.7,,,,,26.1,940,30.5,273,78.5,,,,,,,,,,,,,584,50,117,,57,,,,,,,,,,,,,,,,,,,,,2.3,,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,104637
[4843],OCEAN ISLAND,CANARY ISLANDS / TENERIFE / ATLANTIC OCEAN,ANAGA MASSIF,28.5,28.5,-16.3,-16.3,SUBAERIAL,,,s AN52 [4843],BASANITE [4843],4200000 [4843],8000000 [4843],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4843] ,201744.946,27629.574,,85156.4859,,,,96696.12,81690.21,34071.76,1711.55218,,6616.2955,19065.7249,4434.03736,,,,,,,,,,,,,,,,31300,,,,,,,,,,,,,,,,,,,,,,,,490,,,19,,323,6,,,,13,25,117,22.5,,,,,24.5,1455,36.5,357,101.7,,,,,,,,,,,,,797,71,156,,74,,,,,,,,,,,,,,,,,,,,,3.9,,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,104638
[4843],OCEAN ISLAND,CANARY ISLANDS / TENERIFE / ATLANTIC OCEAN,ANAGA MASSIF,28.5,28.5,-16.3,-16.3,SUBAERIAL,,,s AN1 [4843],BASANITE [4843],4200000 [4843],8000000 [4843],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4843] ,194312.7295,30506.406,,78329.148,,,,110765.25,81618.74,37147.264,1719.29676,,5645.02,16988.5253,3360.4417,,,,,,,,,,,,,,,,21900,,,,,,,,,,,,,,,,,,,,,,,,289,,,25,,420,15,,,,22,59,126,23.8,,,,,7.4,913,79.2,308,94,,,,,,,,,,,,,918,61,129,,65,,,,,,,,,,,,,,,,,,,,,3.7,,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,104639
[4843],OCEAN ISLAND,CANARY ISLANDS / TENERIFE / ATLANTIC OCEAN,ANAGA MASSIF,28.5,28.5,-16.3,-16.3,SUBAERIAL,,,s AN21 [4843],BASANITE [4843],4200000 [4843],8000000 [4843],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4843] ,196135.726,29008.056,,76741.395,,,,107966.97,82690.79,36182.4,1773.50882,,6018.5875,23145.9384,4647.88365,,,,,,,,,,,,,,,,13000,,,,,,,,,,,,,,,,,,,,,,,,48,,,21,,335,10,,,,19,54,130,23.6,,,,,35.9,1078,40.6,387,107.4,,,,,,,,,,,,,696,81,162,,81,,,,,,,,,,,,,,,,,,,,,3.2,,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,104640
[4843],OCEAN ISLAND,CANARY ISLANDS / TENERIFE / ATLANTIC OCEAN,ANAGA MASSIF,28.5,28.5,-16.3,-16.3,SUBAERIAL,,,s AN22 [4843],BASANITE [4843],4200000 [4843],8000000 [4843],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4843] ,194639.934,27329.904,,67849.9782,,,,107189.67,88479.86,49509.584,1463.72562,,4748.458,21736.4101,2400.3155,,,,,,,,,,,,,,,,14700,,,,,,,,,,,,,,,,,,,,,,,,644,,,30,,429,410,,,,165,118,100,18.9,,,,,27.8,760,25,223,60.4,,,,,,,,,,,,,443,39.8,82.1,,43.1,8.715,2.705,7.59,,5.19,,2.18,,1.632,0.219,,,,,,,,,,,1.9,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,104641
[4843],OCEAN ISLAND,CANARY ISLANDS / TENERIFE / ATLANTIC OCEAN,ANAGA MASSIF,28.5,28.5,-16.3,-16.3,SUBAERIAL,,,s AN23 [4843],BASANITE [4843],4200000 [4843],8000000 [4843],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4843] ,198987.0795,27689.508,,80604.9273,,,,103691.82,84763.42,40041.856,1471.4702,,6541.582,18249.6822,2675.26073,,,,,,,,,,,,,,,,13800,,,,,,,,,,,,,,,,,,,,,,,,946,,,27,,392,142,,,,80,84,101,23.3,,,,,17.4,887,32,279,76.1,,,,,,,,,,,,,628,51,110,,0.54,,,,,,,,,,,,,,,,,,,,,2.1,,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,104642
