Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id
[2294],CONVERGENT MARGIN,IZU-BONIN ARC / IZU BACK-ARC / SITE 790 / PACIFIC OCEAN,HOLE 790B,30.916,30.916,139.8443,139.8443,SUBAQUATIC,-2234,-2334,"s 126-790B-10H-1,0-35 [2294]",RHYOLITE [2294],,,,PLEISTOCENE [2294],,,,,VOLCANIC ROCK,81,81,,,WHOLE_ROCK [2294] ,329261.214,3596.04,,71925.2109,,,,31791.57,27444.48,6151.008,,,6060.095,37908.8927,567.3473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.42,,,,,,,,,,,,,14.8,,33.8,,,,,1.3,,,,,,,,8.04,169,43,94,2,,,,,,,,,,,,0.61,160,4.46,12.3,2.11,11.4,3.84,1.21,5.12,0.91,6.15,1.35,4.2,0.62,4.17,0.65,2.82,2.02,,,,,,,,,6.6,,0.47,0.37,0.513103,,,0.703526,,,,,,,,,,,,,,,,,,,,,"10023-126-790B-10H-1, 0-35"
[4594],OCEAN ISLAND,ICELAND / ICELAND / Ã–RAEFAJÃ–KULL / ATLANTIC OCEAN,,64.03,64.03,-16.68,-16.68,SUBAERIAL,,,s OR50 [4594],RHYOLITE [4594],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4594] ,340993.8325,1078.812,,71343.0348,,4616.04,15623.73,,6289.36,783.952,542.1206,,32624.895,35534.9503,87.2842,,,,,,,,,,,,,,,,5500,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,,2,7,,,30,4,,91,,,,,,99,49,108,407,93,,,,,,,,,,,,,769,69.7,146,,69.39,14.48,2.1,,,,,,,5.8,1.49,13.3,4.9,,,,,,,,,,,10.9,3.1,0.512945,,,0.703724,,,,,,,,,,,,,,,,,,,,,100275
[4594],OCEAN ISLAND,ICELAND / ICELAND / Ã–RAEFAJÃ–KULL / ATLANTIC OCEAN,,64.03,64.03,-16.68,-16.68,SUBAERIAL,,,s OR154 [4594],RHYOLITE [4594],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4594] ,345434.465,839.076,,73618.8141,,6224.66,8938.95,,6146.42,1386.992,387.229,,34036.15,35015.6504,43.6421,,,,,,,,,,,,,,,,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,,4,5,,,2,4,,73,,,,,,98,57,87,398,69.4,,,,,,,,,,,,0.71,682,82.9,137,16.57,64.18,14.66,1.9,13.8,2.45,15.06,3.05,8.5,1.21,7.5,1.13,12.8,4.81,,,,,,,,,,,12.8,3.37,0.512911,,,0.703727,,18.564,,15.515,,38.486,,,,,,,,,,,,,,,100277
[4605],CONTINENTAL FLOOD BASALT,"NORTH ATLANTIC IGNEOUS PROVINCE (NAIP) / WEST GREENLAND / MALIGAT FORMATION, NORDFJORD MEMBER","SEDIMENTKLOEFTEN IN HAMMERS DAL, DISKO (QEGERTARSSUAQ)",70.1278,70.1278,-54.7806,-54.7806,SUBAERIAL,140,140,s 156518 [4605],RHYOLITE [4605],,,,CENOZOIC [4605],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4605] ,328326.344,2816.898,,68167.5288,,8113.04,21608.94,,15151.64,3256.416,387.229,,31711.73,18546.425,872.842,,25200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,16,7,,,,6,12,,,,,,,124,173,39,313,,,,,,,,,,,,,,820,49,93,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7219,,,,,,,,,,,,,,,,,,,,,100399
[4605],CONTINENTAL FLOOD BASALT,"NORTH ATLANTIC IGNEOUS PROVINCE (NAIP) / WEST GREENLAND / MALIGAT FORMATION, NORDFJORD MEMBER","SEDIMENTKLOEFTEN IN HAMMERS DAL, DISKO (QEGERTARSSUAQ)",70.1278,70.1278,-54.7806,-54.7806,SUBAERIAL,140,140,s 156516 [4605],RHYOLITE [4605],,,,CENOZOIC [4605],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4605] ,338843.6315,539.406,,65574.1989,,5035.68,5285.64,,4145.26,964.864,232.3374,,47567.595,16988.5253,305.4947,,39900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,6,3,,,,4,4,,,,,,,194,29,53,72,,,,,,,,,,,,,,187,16,34,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.73307,,,,,,,,,,,,,,,,,,,,,100400
[4606],CONTINENTAL FLOOD BASALT,NORTH ATLANTIC IGNEOUS PROVINCE (NAIP) / BRITISH TERTIARY VOLCANIC PROVINCE,"NEW QUARRY, TARDREE MOUNTAIN, ANTRIM COUNTY, NE IRELAND",54.75,55,-5.75,-6.25,SUBAERIAL,,,s 15 [4606],RHYOLITE [4606],,,,CENOZOIC [4606],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4606] ,354315.73,,,65891.7495,,10281.18,3420.12,,7147,482.432,154.8916,,34617.255,17062.711,,,13000,8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100425
[2660],CONTINENTAL FLOOD BASALT,KAROO PROVINCE - AFRICA / KAROO CENTRAL AREA / JOZINI FORMATION,"NGWENI QUARRY, NORTHERN NATAL",-28.7,-31.8,27,29.6,SUBAERIAL,,,s FM7531(L335) [2660],RHYOLITE [2660],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2660] ,,,,,,,,,,,,,33704.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101280
[3052],CONVERGENT MARGIN,KURILE ARC / KURILE ARC / ITURUP (ITIRUP) / MEDVHIZYA (MEDVHEZIA) / PACIFIC OCEAN,,45.33,45.33,148.87,148.87,SUBAERIAL,,,s 1 [3052],RHYOLITE [3052],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3052] ,332393.0285,1618.218,,76741.395,,20702.24,4508.34,,22441.58,3618.24,1006.7954,,11040.995,33012.6365,349.1368,,10900,3800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101321
[3052],CONVERGENT MARGIN,KURILE ARC / KURILE ARC / ITURUP (ITIRUP) / MEDVHIZYA (MEDVHEZIA) / PACIFIC OCEAN,,45.33,45.33,148.87,148.87,SUBAERIAL,,,s 2 [3052],RHYOLITE [3052],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3052] ,335384.6125,6592.74,,80181.5265,,12449.32,855.03,,14365.47,783.952,464.6748,,8716.575,31974.0367,392.7789,,19700,9500,,,,,,,,,,,,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101322
[3052],CONVERGENT MARGIN,KURILE ARC / KURILE ARC / ITURUP (ITIRUP) / MEDVHIZYA (MEDVHEZIA) / PACIFIC OCEAN,,45.33,45.33,148.87,148.87,SUBAERIAL,,,s 3 [3052],RHYOLITE [3052],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3052] ,349734.867,3296.37,,68220.4539,,5595.2,10182.63,,16938.39,4040.368,774.458,,13033.355,31974.0367,174.5684,,6100,1600,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101323
